오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
120,1000000419142G00110000000000100071,화성군,"SDE.ST_GEOMETRY(264,3773,1134652.01,2345082.689,1189187.976,2377334.43,NULL,NULL,NULL,NULL,1139377828,180780.0159,19,'oracle.sql.BLOB@10cb516c')"
121,1000000419144G00110000000000100102,명천군,"SDE.ST_GEOMETRY(264,4002,1143426.445,2327695.736,1189329.015,2356108.868,NULL,NULL,NULL,NULL,602195292.5,179715.7316,19,'oracle.sql.BLOB@48db1666')"
122,1000000429044G00110000000000100000,온성군,"SDE.ST_GEOMETRY(8,453,1185087.105,2517109.759,1216357.637,2558951.785,NULL,NULL,NULL,NULL,725096026.6,152508.1193,19,'oracle.sql.BLOB@1edc0d37')"
123,1000000429112G00110000000000100002,회령시,"SDE.ST_GEOMETRY(8,1896,1148617.801,2460654.686,1208078.404,2521925.923,NULL,NULL,NULL,NULL,1752385496,309071.88,19,'oracle.sql.BLOB@2069d69e')"
124,1000000429141G00110000000000100005,무산군,"SDE.ST_GEOMETRY(8,1635,1124307.384,2426551.025,1172451.108,2492576.491,NULL,NULL,NULL,NULL,1404606659,254245.7261,19,'oracle.sql.BLOB@6a63a3ce')"
125,1000000429154G00110000000000100017,부령군,"SDE.ST_GEOMETRY(8,970,1165115.016,2431511.332,1195601.402,2472509.571,NULL,NULL,NULL,NULL,792266283.5,151958.2107,19,'oracle.sql.BLOB@7a9be0c2')"
126,1000000430052G00110000000000100001,새별군,"SDE.ST_GEOMETRY(8,1029,1199272.589,2493092.871,1232956.681,2548906.09,NULL,NULL,NULL,NULL,907086744.2,180296.4569,19,'oracle.sql.BLOB@4d0ff13')"
127,1000000430092G00110000000000100003,은덕군,"SDE.ST_GEOMETRY(8,1444,1199145.8,2478088.886,1242049.716,2521137.23,NULL,NULL,NULL,NULL,928991992.5,173224.2798,19,'oracle.sql.BLOB@6a630431')"
128,1000000430102G00110000000000100004,나선시,"SDE.ST_GEOMETRY(264,6449,1209800.885,2463837.763,1263621.035,2517201.323,NULL,NULL,NULL,NULL,864359256.4,295268.8117,19,'oracle.sql.BLOB@1d69a760')"
129,1000000395154G00110000000000100429,서성구역,"SDE.ST_GEOMETRY(8,244,845173.5444,2116934.647,851568.0655,2122775.201,NULL,NULL,NULL,NULL,12635864.38,22369.5151,19,'oracle.sql.BLOB@38d1c9ff')"
130,1000000395154G00110000000000100430,천리마군,"SDE.ST_GEOMETRY(8,421,834148.4663,2108569.69,845218.296,2122187.93,NULL,NULL,NULL,NULL,89880591.74,49592.07545,19,'oracle.sql.BLOB@3b7a8191')"
131,1000000395154G00110000000000100438,보통강구역,"SDE.ST_GEOMETRY(8,111,844532.4885,2114099.667,848176.2706,2117734.482,NULL,NULL,NULL,NULL,7328347.336,12142.84696,19,'oracle.sql.BLOB@494a5843')"
132,1000000395154G00110000000000100444,평천구역,"SDE.ST_GEOMETRY(8,54,843994.5307,2111321.805,847871.889,2115047.489,NULL,NULL,NULL,NULL,8393652.937,11811.82472,19,'oracle.sql.BLOB@1948b4ad')"
133,1000000395161G00110000000000100396,은정구역,"SDE.ST_GEOMETRY(8,552,856252.6359,2129593.022,861737.8446,2139159.418,NULL,NULL,NULL,NULL,34307498.88,29368.59087,19,'oracle.sql.BLOB@2f60084a')"
134,1000000395161G00110000000000100401,용성구역,"SDE.ST_GEOMETRY(8,1013,848205.838,2121348.442,861136.8879,2137893.087,NULL,NULL,NULL,NULL,131595636.9,62331.43207,19,'oracle.sql.BLOB@4079723e')"
135,1000000395162G00110000000000100402,삼석구역,"SDE.ST_GEOMETRY(8,721,855378.1731,2117649.968,872038.7978,2137161.536,NULL,NULL,NULL,NULL,160014039,72872.04514,19,'oracle.sql.BLOB@5b6ab232')"
136,1000000395163G00110000000000100432,모란봉구역,"SDE.ST_GEOMETRY(8,92,847616.5846,2116003.015,850067.7975,2119113.795,NULL,NULL,NULL,NULL,4831373.248,9488.941711,19,'oracle.sql.BLOB@75b982e')"
137,1000000395163G00110000000000100435,중구역,"SDE.ST_GEOMETRY(8,121,846125.307,2110991.006,851964.6761,2118432.031,NULL,NULL,NULL,NULL,13064952.75,23663.73009,19,'oracle.sql.BLOB@2856e2d7')"
138,1000000395163G00110000000000100437,대동강구역,"SDE.ST_GEOMETRY(8,121,847821.1917,2110269.753,855400.2988,2117818.001,NULL,NULL,NULL,NULL,29247369.29,23444.9493,19,'oracle.sql.BLOB@23358d61')"
139,1000000395164G00110000000000100427,평양직할시,"SDE.ST_GEOMETRY(8,862,848943.9841,2109553.147,879132.0059,2122808.314,NULL,NULL,NULL,NULL,203405123.8,94599.30661,19,'oracle.sql.BLOB@2d404017')"
140,1000000396011G00110000000000100188,구장군,"SDE.ST_GEOMETRY(8,1911,858384.1042,2197647.634,903489.5146,2221328.095,NULL,NULL,NULL,NULL,590016301.8,152804.5935,19,'oracle.sql.BLOB@76013779')"
141,1000000396023G00110000000000100195,덕천시,"SDE.ST_GEOMETRY(8,2015,878061.8822,2180609.216,912500.3247,2212124.733,NULL,NULL,NULL,NULL,690133829.9,136692.3199,19,'oracle.sql.BLOB@69de3334')"
142,1000000396031G00110000000000100163,영원군,"SDE.ST_GEOMETRY(8,2869,900046.0823,2194776.633,946483.4879,2243973.25,NULL,NULL,NULL,NULL,1194898273,199385.5825,19,'oracle.sql.BLOB@668fe5eb')"
143,1000000396063G00110000000000100242,북창군,"SDE.ST_GEOMETRY(8,2786,871458.7111,2155666.841,914192.2637,2186648.008,NULL,NULL,NULL,NULL,680106434,163680.7874,19,'oracle.sql.BLOB@49e051d5')"
144,1000000396071G00110000000000100203,맹산군,"SDE.ST_GEOMETRY(8,2499,907369.0096,2161750.039,938016.5284,2207670.328,NULL,NULL,NULL,NULL,722661241.8,161876.6985,19,'oracle.sql.BLOB@36a51d6f')"
145,1000000396082G00110000000000100202,요덕군,"SDE.ST_GEOMETRY(8,1823,927927.6622,2156219.116,974304.1783,2207767.513,NULL,NULL,NULL,NULL,1291159047,196457.1452,19,'oracle.sql.BLOB@2e7adf1c')"
146,1000000396091G00110000000000100300,은산읍,"SDE.ST_GEOMETRY(8,3249,850787.5766,2136946.957,902362.9239,2176421.017,NULL,NULL,NULL,NULL,809837155.9,213955.8787,19,'oracle.sql.BLOB@37c3c785')"
147,1000000396094G00110000000000100360,성천군,"SDE.ST_GEOMETRY(8,2575,872919.4102,2127300.249,909890.6326,2160405.056,NULL,NULL,NULL,NULL,653450595.3,164112.3158,19,'oracle.sql.BLOB@7ce65651')"
148,1000000396113G00110000000000100313,신양군,"SDE.ST_GEOMETRY(8,2018,903441.104,2128480.151,935420.5302,2173665.276,NULL,NULL,NULL,NULL,721231535.8,156709.0762,19,'oracle.sql.BLOB@623672c7')"
149,1000000396122G00110000000000100304,수동구,"SDE.ST_GEOMETRY(8,1097,931037.9277,2133794.426,966254.4136,2175180.067,NULL,NULL,NULL,NULL,782854657.7,171041.3132,19,'oracle.sql.BLOB@1a4cd3a2')"
150,1000000396134G00110000000000100400,강동군,"SDE.ST_GEOMETRY(8,2032,866861.4743,2103013.271,906745.2214,2138427.262,NULL,NULL,NULL,NULL,535802387.2,165229.4816,19,'oracle.sql.BLOB@339ac081')"
151,1000000396144G00110000000000100398,회창군,"SDE.ST_GEOMETRY(8,2384,888939.024,2101660.46,927126.323,2138368.309,NULL,NULL,NULL,NULL,682922904,161076.784,19,'oracle.sql.BLOB@7d804c7d')"
152,1000000396154G00110000000000100418,신평군,"SDE.ST_GEOMETRY(8,1905,910514.1995,2092363.33,959072.581,2130540.061,NULL,NULL,NULL,NULL,1074112467,202561.0771,19,'oracle.sql.BLOB@2c71a940')"
153,1000000396161G00110000000000100704,양덕군,"SDE.ST_GEOMETRY(8,1301,918824.4613,2115628.405,963348.1673,2148993.434,NULL,NULL,NULL,NULL,782037366.1,166587.9286,19,'oracle.sql.BLOB@50dcbeaf')"
154,1000000397021G00110000000000100173,함주군,"SDE.ST_GEOMETRY(8,705,961145.9695,2196158.932,1006530.929,2231065.669,NULL,NULL,NULL,NULL,692170056.5,150061.6909,19,'oracle.sql.BLOB@35a7e2fd')"
155,1000000397033G00110000000000100191,흥남구역,"SDE.ST_GEOMETRY(264,947,1003021.961,2199688.628,1018211.545,2215154.219,NULL,NULL,NULL,NULL,140336420.8,65212.72694,19,'oracle.sql.BLOB@4a3bb390')"
156,1000000397041G00110000000000100182,퇴조군,"SDE.ST_GEOMETRY(264,1839,1015781.62,2205577.854,1034459.357,2222604.87,NULL,NULL,NULL,NULL,176330422.8,89517.14846,19,'oracle.sql.BLOB@6ba1383e')"
157,1000000397061G00110000000000100201,정평군,"SDE.ST_GEOMETRY(264,1827,965946.8971,2174128.288,1006965.716,2208089.861,NULL,NULL,NULL,NULL,745590330.3,158743.425,19,'oracle.sql.BLOB@5e3dda23')"
158,1000000397092G00110000000000100335,고원군,"SDE.ST_GEOMETRY(8,352,961128.8174,2151456.036,987527.727,2167285.458,NULL,NULL,NULL,NULL,255041554.1,77260.52589,19,'oracle.sql.BLOB@54077b13')"
159,1000000397094G00110000000000100367,천내군,"SDE.ST_GEOMETRY(264,1361,957432.8604,2128609.073,996315.5104,2157413.626,NULL,NULL,NULL,NULL,385253777.4,148199.324,19,'oracle.sql.BLOB@43b7e530')"
160,1000000397101G00110000000000100267,문천시,"SDE.ST_GEOMETRY(264,6800,953208.4577,2127846.482,1006715.428,2182376.789,NULL,NULL,NULL,NULL,1066021280,363169.2529,19,'oracle.sql.BLOB@21b545b0')"
161,1000000397111G00110000000000100368,금야군,"SDE.ST_GEOMETRY(264,189,998708.6231,2151956.459,1003356.442,2155557.631,NULL,NULL,NULL,NULL,191715.3935,4879.037254,19,'oracle.sql.BLOB@11696f67')"
162,1000000397151G00110000000000100421,안변군,"SDE.ST_GEOMETRY(264,2113,983062.2404,2096180.899,1018314.17,2129333.357,NULL,NULL,NULL,NULL,506093595.3,154491.4533,19,'oracle.sql.BLOB@7ed951ba')"
163,1000000397152G00110000000000100399,원산시,"SDE.ST_GEOMETRY(264,3670,975886.3585,2112696.693,1011969.998,2137703.055,NULL,NULL,NULL,NULL,313236891.8,126485.7668,19,'oracle.sql.BLOB@2bba534')"
164,1000000404124G00110000000000100142,삭주군,"SDE.ST_GEOMETRY(8,1823,761571.888,2247796.742,806024.7469,2278811.64,NULL,NULL,NULL,NULL,747410981.9,143168.0501,19,'oracle.sql.BLOB@9a8e816')"
165,1000000404152G00110000000000100152,의주군,"SDE.ST_GEOMETRY(8,1229,743135.7171,2237637.316,772691.2301,2260162.131,NULL,NULL,NULL,NULL,425460473.5,99120.80933,19,'oracle.sql.BLOB@53e0ac13')"
166,1000000404144G00110000000000100159,신의주시,"SDE.ST_GEOMETRY(8,460,729942.6061,2228320.844,748291.5204,2245854.265,NULL,NULL,NULL,NULL,188922278,64456.82511,19,'oracle.sql.BLOB@67007354')"
167,1000000404154G00110000000000100166,피현군,"SDE.ST_GEOMETRY(8,1617,743335.7261,2217861.633,773246.0343,2241720.535,NULL,NULL,NULL,NULL,438738731.8,116426.1082,19,'oracle.sql.BLOB@38cdf885')"
168,1000000404164G00110000000000100156,천마군,"SDE.ST_GEOMETRY(8,1852,767051.8251,2213338.023,798843.9184,2251177.739,NULL,NULL,NULL,NULL,738174558.4,134958.8312,19,'oracle.sql.BLOB@766b5fd2')"
169,1000000405043G00110000000000100131,초산군,"SDE.ST_GEOMETRY(8,1042,842637.3487,2293762.188,876624.4443,2324237.8,NULL,NULL,NULL,NULL,568362647.3,130469.8839,19,'oracle.sql.BLOB@20bdf538')"
170,1000000405064G00110000000000100138,벽동군,"SDE.ST_GEOMETRY(8,1938,802479.3558,2267139.705,840929.8335,2298569.669,NULL,NULL,NULL,NULL,644457551.7,135959.5596,19,'oracle.sql.BLOB@44c3a8a8')"
171,1000000405073G00110000000000100133,우시군,"SDE.ST_GEOMETRY(8,2157,826826.7715,2262624.467,855150.0507,2309848.218,NULL,NULL,NULL,NULL,680505706,156604.0723,19,'oracle.sql.BLOB@131d7965')"
172,1000000405084G00110000000000100137,고풍군,"SDE.ST_GEOMETRY(8,1734,846827.6374,2270914.231,888243.682,2302128.619,NULL,NULL,NULL,NULL,705167205.4,147386.0204,19,'oracle.sql.BLOB@3f24311b')"
173,1000000405092G00110000000000100140,창성군,"SDE.ST_GEOMETRY(8,2165,787252.9922,2252501.085,828625.5634,2290956.795,NULL,NULL,NULL,NULL,618536223.9,137554.4627,19,'oracle.sql.BLOB@707f17f2')"
174,1000000405124G00110000000000100141,송원군,"SDE.ST_GEOMETRY(8,2550,839382.1109,2245547.172,904457.6308,2282880.562,NULL,NULL,NULL,NULL,1148585826,211260.7857,19,'oracle.sql.BLOB@29a077bd')"
175,1000000405132G00110000000000100147,대관군,"SDE.ST_GEOMETRY(8,2917,788312.1438,2227720.448,823884.6203,2267531.756,NULL,NULL,NULL,NULL,842809304.2,152653.005,19,'oracle.sql.BLOB@510ef5bd')"
176,1000000405151G00110000000000100145,동창군,"SDE.ST_GEOMETRY(8,2342,818025.2863,2229378.74,844610.0466,2272988.706,NULL,NULL,NULL,NULL,654515880.6,129932.6353,19,'oracle.sql.BLOB@4fbcba6e')"
177,1000000405163G00110000000000100154,운산군,"SDE.ST_GEOMETRY(8,2117,840033.7571,2212030.752,875164.7227,2254478.546,NULL,NULL,NULL,NULL,873138755.9,164330.0619,19,'oracle.sql.BLOB@47f4f4ec')"
178,1000000406014G00110000000000100125,위원군,"SDE.ST_GEOMETRY(8,2320,867561.1403,2285133.098,915086.7495,2333020.331,NULL,NULL,NULL,NULL,1170457667,195105.1568,19,'oracle.sql.BLOB@6dc36e30')"
179,1000000406031G00110000000000100110,강계시,"SDE.ST_GEOMETRY(8,1871,908696.4474,2317262.08,936193.8121,2344046.565,NULL,NULL,NULL,NULL,368341900.8,124865.628,19,'oracle.sql.BLOB@4b46cd28')"
180,1000000406034G00110000000000100130,성간군,"SDE.ST_GEOMETRY(8,1785,908930.3618,2290802.75,954691.7165,2325054.355,NULL,NULL,NULL,NULL,955946971.7,156596.7381,19,'oracle.sql.BLOB@618371e4')"
181,1000000406064G00110000000000100136,전천군,"SDE.ST_GEOMETRY(8,2409,886161.0022,2264885.579,923791.8562,2306656.9,NULL,NULL,NULL,NULL,993146799.1,172314.3112,19,'oracle.sql.BLOB@1b0baac')"
182,1000000406083G00110000000000100135,용림군,"SDE.ST_GEOMETRY(8,3635,917000.6033,2251984.02,958610.3393,2307512.236,NULL,NULL,NULL,NULL,1202389691,200932.5023,19,'oracle.sql.BLOB@77f4e644')"
183,1000000406113G00110000000000100144,동신군,"SDE.ST_GEOMETRY(8,3030,892478.6067,2231944.723,943996.7347,2272786.434,NULL,NULL,NULL,NULL,1210642831,187552.3728,19,'oracle.sql.BLOB@a265a1f')"
184,1000000406133G00110000000000100161,향산군,"SDE.ST_GEOMETRY(8,1927,861343.8034,2215732.169,900973.4988,2245009.178,NULL,NULL,NULL,NULL,480779166.2,137580.346,19,'oracle.sql.BLOB@705006ee')"
185,1000000406141G00110000000000100148,희천시,"SDE.ST_GEOMETRY(8,2093,870524.1871,2221409.288,920672.8344,2261942.933,NULL,NULL,NULL,NULL,993319563.6,164160.6408,19,'oracle.sql.BLOB@74b1b792')"
186,1000000406164G00110000000000100149,대흥군,"SDE.ST_GEOMETRY(8,2891,937225.5499,2202249.6,972750.8685,2260916.985,NULL,NULL,NULL,NULL,1245973429,197165.4189,19,'oracle.sql.BLOB@2427a986')"
187,1000000407014G00110000000000100104,랑림군,"SDE.ST_GEOMETRY(8,2297,949416.5609,2281117.19,1001283.322,2352071.985,NULL,NULL,NULL,NULL,2056088537,246973.7655,19,'oracle.sql.BLOB@1ce9e9bf')"
188,1000000407033G00110000000000100106,부전군,"SDE.ST_GEOMETRY(8,1830,989697.6099,2263034.836,1025481.803,2349369.195,NULL,NULL,NULL,NULL,1773563660,281050.9071,19,'oracle.sql.BLOB@6c7eebba')"
189,1000000407043G00110000000000100109,풍서군,"SDE.ST_GEOMETRY(8,1587,1007363.706,2289129.839,1079794.606,2343509.019,NULL,NULL,NULL,NULL,1819268537,247822.9803,19,'oracle.sql.BLOB@150acc80')"
190,1000000407092G00110000000000100134,장진군,"SDE.ST_GEOMETRY(8,3851,949815.2988,2241099.088,998634.5408,2308507.038,NULL,NULL,NULL,NULL,1859831683,229887.7859,19,'oracle.sql.BLOB@cf83c3e')"
191,1000000407114G00110000000000100143,신흥군,"SDE.ST_GEOMETRY(8,1507,990288.2864,2231558.987,1039670.022,2275938.008,NULL,NULL,NULL,NULL,1125909102,173512.6185,19,'oracle.sql.BLOB@5f8f980f')"
192,1000000407144G00110000000000100155,오로군,"SDE.ST_GEOMETRY(8,1766,971189.6022,2217139.482,1010113.808,2252625.532,NULL,NULL,NULL,NULL,784611233.9,147039.9895,19,'oracle.sql.BLOB@44378b7f')"
193,1000000407154G00110000000000100157,함흥시,"SDE.ST_GEOMETRY(264,1417,966105.0805,2207778.619,1024727.602,2246528.453,NULL,NULL,NULL,NULL,544379799.9,166057.9426,19,'oracle.sql.BLOB@71a31b5')"
194,1000000407162G00110000000000100153,홍원군,"SDE.ST_GEOMETRY(264,1861,1020193.395,2219618.801,1059728.997,2255849.816,NULL,NULL,NULL,NULL,876073874.1,159858.1268,19,'oracle.sql.BLOB@4a4ef4a4')"
195,1000000408033G00110000000000100123,허천군,"SDE.ST_GEOMETRY(8,2223,1063861.313,2280543.318,1119060.933,2336187.502,NULL,NULL,NULL,NULL,1668561239,231508.9804,19,'oracle.sql.BLOB@69224202')"
196,1000000408043G00110000000000100103,단천시,"SDE.ST_GEOMETRY(8,9535,1080016.15,2264968.824,1140996.912,2354340.707,NULL,NULL,NULL,NULL,2158653067,364785.663,19,'oracle.sql.BLOB@1136402a')"
197,1000000408051G00110000000000100132,풍산군,"SDE.ST_GEOMETRY(8,1545,1018348.71,2267952.681,1076513.62,2320454.617,NULL,NULL,NULL,NULL,1262563144,212511.1104,19,'oracle.sql.BLOB@47f75c20')"
198,1000000408092G00110000000000100139,덕성군,"SDE.ST_GEOMETRY(8,1754,1032183.981,2248875.483,1086827.392,2292150.454,NULL,NULL,NULL,NULL,1572154732,194567.2066,19,'oracle.sql.BLOB@7aa17bae')"
199,1000000408113G00110000000000100146,이원군,"SDE.ST_GEOMETRY(264,4499,1076678.137,2242448.995,1116889.938,2271258.161,NULL,NULL,NULL,NULL,474571242.1,158382.2911,19,'oracle.sql.BLOB@16814aa')"
200,1000000408134G00110000000000100168,신포시,"SDE.ST_GEOMETRY(264,2639,1050768.484,2220356.916,1067644.856,2237028.951,NULL,NULL,NULL,NULL,116209922.4,104815.674,19,'oracle.sql.BLOB@227c23bd')"
201,1000000408141G00110000000000100150,북청군,"SDE.ST_GEOMETRY(264,1743,1048222.038,2233727.778,1092098.983,2259337.719,NULL,NULL,NULL,NULL,584810211.9,138758.8895,19,'oracle.sql.BLOB@5f177d8e')"
202,1000000408143G00110000000000100165,금호지구,"SDE.ST_GEOMETRY(264,980,1064730.219,2225560.404,1078802.279,2241692.367,NULL,NULL,NULL,NULL,103949231.4,55777.42754,19,'oracle.sql.BLOB@2e1a11c9')"
203,1000000409014G00110000000000100126,성진시,"SDE.ST_GEOMETRY(8,12304,1121025.203,2286737.891,1159467.611,2331095.076,NULL,NULL,NULL,NULL,830897266.3,168386.7749,19,'oracle.sql.BLOB@6f168de4')"
204,1000000409033G00110000000000100124,화대군,"SDE.ST_GEOMETRY(264,5035,1149899.68,2307940.87,1190654.24,2333867.168,NULL,NULL,NULL,NULL,489929401.1,154002.2367,19,'oracle.sql.BLOB@2c342a70')"
205,1000000416081G00110000000000100054,중강군,"SDE.ST_GEOMETRY(8,1130,928400.8339,2391625.249,964818.5147,2422833.832,NULL,NULL,NULL,NULL,650094573.1,153890.3604,19,'oracle.sql.BLOB@48abd975')"
206,1000000416112G00110000000000100056,자성군,"SDE.ST_GEOMETRY(8,1762,913255.7267,2357320.204,951851.9256,2407735.727,NULL,NULL,NULL,NULL,862875774,183538.3438,19,'oracle.sql.BLOB@36411df0')"
207,1000000416124G00110000000000100058,화평군,"SDE.ST_GEOMETRY(8,1725,933105.65,2333854.296,970739.2754,2388170.245,NULL,NULL,NULL,NULL,1236085252,186220.7221,19,'oracle.sql.BLOB@6de3cf71')"
208,1000000416141G00110000000000100073,만포시,"SDE.ST_GEOMETRY(8,2392,878940.9773,2328643.346,929898.4529,2374729.354,NULL,NULL,NULL,NULL,665238917,211716.5181,19,'oracle.sql.BLOB@60091f17')"
209,1000000416144G00110000000000100105,시중군,"SDE.ST_GEOMETRY(8,2027,891966.6802,2318395.477,920603.4176,2351670.48,NULL,NULL,NULL,NULL,489371109.3,133619.2639,19,'oracle.sql.BLOB@767f0212')"
210,1000000416154G00110000000000100101,장강군,"SDE.ST_GEOMETRY(8,2090,917341.8117,2321840.055,952318.0741,2358565.064,NULL,NULL,NULL,NULL,718208382.6,152587.2756,19,'oracle.sql.BLOB@48ef3fb0')"
211,1000000417092G00110000000000100057,후창군,"SDE.ST_GEOMETRY(8,1728,950696.2973,2344498.252,1006229.436,2406282.05,NULL,NULL,NULL,NULL,1463651868,265239.3106,19,'oracle.sql.BLOB@3b84e99b')"
212,1000000417114G00110000000000100061,신파군,"SDE.ST_GEOMETRY(8,1345,980824.0657,2337786.352,1041798.838,2383724.765,NULL,NULL,NULL,NULL,1242596145,248512.8346,19,'oracle.sql.BLOB@135da85b')"
213,1000000417162G00110000000000100062,삼수군,"SDE.ST_GEOMETRY(8,560,1023265.679,2338579.958,1059988.085,2380408.079,NULL,NULL,NULL,NULL,875831102.6,171078.4731,19,'oracle.sql.BLOB@1dbc47b0')"
214,1000000418023G00110000000000100050,삼지연군,"SDE.ST_GEOMETRY(8,6171,1043824.789,2396548.804,1098802.782,2448707.995,NULL,NULL,NULL,NULL,1349064957,225290.7639,19,'oracle.sql.BLOB@2c9fe908')"
215,1000000418032G00110000000000100044,대홍단군,"SDE.ST_GEOMETRY(8,3903,1078984.106,2420574.332,1124827.446,2455530.167,NULL,NULL,NULL,NULL,505956899,177496.1243,19,'oracle.sql.BLOB@30cb1531')"
216,1000000418064G00110000000000100055,보천군,"SDE.ST_GEOMETRY(8,869,1060819.79,2380276.297,1096093.544,2422098.478,NULL,NULL,NULL,NULL,782606894.7,157945.5671,19,'oracle.sql.BLOB@4eaa6c03')"
217,1000000418083G00110000000000100052,백암군,"SDE.ST_GEOMETRY(8,1261,1080235.991,2346038.808,1130153.091,2437346.478,NULL,NULL,NULL,NULL,2312212665,280097.5001,19,'oracle.sql.BLOB@31d433a1')"
218,1000000418094G00110000000000100060,혜산시,"SDE.ST_GEOMETRY(8,233,1048795.647,2358996.119,1071595.923,2383803.698,NULL,NULL,NULL,NULL,269616345.3,84680.21788,19,'oracle.sql.BLOB@62d04b3a')"
