오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
28,1000000385022G00110000000000100442,강서구역,"SDE.ST_GEOMETRY(8,929,812467.1501,2096555.597,832762.5839,2116701.021,NULL,NULL,NULL,NULL,237139780.2,82750.74266,19,'oracle.sql.BLOB@74f02364')"
29,1000000385024G00110000000000100454,용강군,"SDE.ST_GEOMETRY(8,596,807939.8641,2090360.311,825790.1588,2105657.43,NULL,NULL,NULL,NULL,156719796.1,62422.12116,19,'oracle.sql.BLOB@26ea764b')"
30,1000000385031G00110000000000100440,천리마구역,"SDE.ST_GEOMETRY(8,818,827169.8008,2097480.322,838467.3611,2117312.213,NULL,NULL,NULL,NULL,109089366.3,71442.58065,19,'oracle.sql.BLOB@551d5395')"
31,1000000388094G00110000000000100554,인제군,"SDE.ST_GEOMETRY(8,559,1055678.62,2027934.428,1065629.552,2044330.887,NULL,NULL,NULL,NULL,109008743.4,52406.13099,19,'oracle.sql.BLOB@64287a34')"
32,1000000394021G00110000000000100177,신도군,"SDE.ST_GEOMETRY(264,3714,714084.6619,2201881.155,734052.1731,2226070.333,NULL,NULL,NULL,NULL,145479015.3,121563.2772,19,'oracle.sql.BLOB@11369ed6')"
33,1000000394022G00110000000000100176,용천군,"SDE.ST_GEOMETRY(8,421,726607.4593,2212868.1,749390.7979,2231105.299,NULL,NULL,NULL,NULL,217173660.2,70689.43265,19,'oracle.sql.BLOB@641bfa95')"
34,1000000394033G00110000000000100189,염주군,"SDE.ST_GEOMETRY(8,3974,732640.5087,2201753.646,760667.2179,2220512.124,NULL,NULL,NULL,NULL,313866235,115429.8999,19,'oracle.sql.BLOB@5ba59c78')"
35,1000000394043G00110000000000100181,동림군,"SDE.ST_GEOMETRY(8,1616,754658.6411,2196276.661,786258.3271,2224827.429,NULL,NULL,NULL,NULL,436451067.5,114715.571,19,'oracle.sql.BLOB@7c7ba4e2')"
36,1000000394072G00110000000000100204,철산군,"SDE.ST_GEOMETRY(264,26966,734808.0855,2156432.491,766964.9332,2208545.262,NULL,NULL,NULL,NULL,341739995.8,328615.9526,19,'oracle.sql.BLOB@599e5595')"
37,1000000394082G00110000000000100193,선천군,"SDE.ST_GEOMETRY(264,14912,767055.2447,2160840.945,797891.5137,2214908.437,NULL,NULL,NULL,NULL,445491477.5,276522.2223,19,'oracle.sql.BLOB@626ad361')"
38,1000000395012G00110000000000100171,구성시,"SDE.ST_GEOMETRY(8,2189,791302.2347,2199761.874,822624.8677,2235929.092,NULL,NULL,NULL,NULL,675350025.5,136841.9234,19,'oracle.sql.BLOB@15dbd508')"
39,1000000395022G00110000000000100169,태천군,"SDE.ST_GEOMETRY(8,2285,812976.7815,2198676.913,843890.3498,2237833.76,NULL,NULL,NULL,NULL,739962263.1,154547.4519,19,'oracle.sql.BLOB@34a63fe5')"
40,1000000395043G00110000000000100190,영변군,"SDE.ST_GEOMETRY(8,1332,836598.1803,2187703.467,867084.7734,2219834.605,NULL,NULL,NULL,NULL,506061834.6,137447.0028,19,'oracle.sql.BLOB@1fbff619')"
41,1000000395051G00110000000000100211,곽산군,"SDE.ST_GEOMETRY(264,4567,781246.7911,2175712.466,801377.9953,2204546.941,NULL,NULL,NULL,NULL,327995885.1,120019.7717,19,'oracle.sql.BLOB@2bfadf54')"
42,1000000395061G00110000000000100205,정주시,"SDE.ST_GEOMETRY(8,2395,796628.0164,2169567.835,817606.1447,2207628.722,NULL,NULL,NULL,NULL,496004566.2,134849.1022,19,'oracle.sql.BLOB@60422cb6')"
43,1000000395062G00110000000000100215,운전군,"SDE.ST_GEOMETRY(8,2020,811890.4292,2170237.514,836311.4317,2202583.219,NULL,NULL,NULL,NULL,361114640.1,119174.1479,19,'oracle.sql.BLOB@651e6e4c')"
44,1000000395072G00110000000000100212,박천군,"SDE.ST_GEOMETRY(8,521,821630.1918,2176582.58,848500.1442,2203518.529,NULL,NULL,NULL,NULL,316048151.7,115953.8117,19,'oracle.sql.BLOB@5f153c8')"
45,1000000395073G00110000000000100297,문덕군,"SDE.ST_GEOMETRY(8,921,813747.8333,2160489.047,845102.527,2177532.454,NULL,NULL,NULL,NULL,321741646.8,96745.74577,19,'oracle.sql.BLOB@788c3c5d')"
46,1000000395074G00110000000000100240,안주시,"SDE.ST_GEOMETRY(8,743,828477.6105,2172511.554,858011.7366,2189047.468,NULL,NULL,NULL,NULL,270747908.4,97202.95105,19,'oracle.sql.BLOB@9da9866')"
47,1000000395082G00110000000000100207,개천시,"SDE.ST_GEOMETRY(8,1904,851825.457,2168165.628,882896.5269,2205653.03,NULL,NULL,NULL,NULL,668650018.4,146941.2808,19,'oracle.sql.BLOB@1f20eb1f')"
48,1000000395083G00110000000000100303,은곡지구,"SDE.ST_GEOMETRY(8,939,842848.9658,2160077.516,860914.8625,2175921.151,NULL,NULL,NULL,NULL,153161748,64944.9653,19,'oracle.sql.BLOB@10409420')"
49,1000000395111G00110000000000100338,숙천군,"SDE.ST_GEOMETRY(8,930,814449.6964,2147333.889,851526.8172,2166751.918,NULL,NULL,NULL,NULL,424478118.6,113693.1725,19,'oracle.sql.BLOB@9b72ca1')"
50,1000000395113G00110000000000100370,평원군,"SDE.ST_GEOMETRY(264,1672,812430.2847,2130572.502,851942.6718,2156159.544,NULL,NULL,NULL,NULL,452238945.8,133109.1869,19,'oracle.sql.BLOB@54f38c59')"
51,1000000395123G00110000000000100365,평성시,"SDE.ST_GEOMETRY(8,1313,846801.4037,2136120.412,872515.5112,2158472.579,NULL,NULL,NULL,NULL,337922278.1,96191.16764,19,'oracle.sql.BLOB@4c93fdcb')"
52,1000000395143G00110000000000100407,증산군,"SDE.ST_GEOMETRY(264,1490,801584.903,2108448.503,825293.8028,2136590.677,NULL,NULL,NULL,NULL,347191335.7,111252.0517,19,'oracle.sql.BLOB@586691ed')"
53,1000000395153G00110000000000100405,대동군,"SDE.ST_GEOMETRY(8,761,820900.7438,2113531.528,842381.8367,2136732.405,NULL,NULL,NULL,NULL,275186870.1,87131.28759,19,'oracle.sql.BLOB@68847c64')"
54,1000000395152G00110000000000100386,순안구역,"SDE.ST_GEOMETRY(8,588,837425.9338,2125236.565,851591.3071,2143473.381,NULL,NULL,NULL,NULL,141152413.2,63857.75744,19,'oracle.sql.BLOB@205db469')"
