fid,tile_id,country_iso3,admin1_code,admin1_name_ko,admin1_name_en,area_km2,land_ratio,is_coastal,center_x,center_y,neighbor_ids,population,city_name_ko,city_name_en,city_class,is_capital,map_class,tile_name_code,tile_name_ko,tile_name_en,tile_name_method,tile_name_population,tile_name_overlap_km2,tile_name_previous_code,tile_name_previous_population,district_slots,district_1,district_2,district_3,primary_industry,terrain,source_year,manual_override,assignment_method,overlap_km2,assignment_score
13,KOR_P_R100029_C100017,KOR,KR-46,전남,Jeonnam,605.2099867281541,0.9999999999999969,False,962621.4609285563,1663920.9249999998,"[""KOR_P_R100028_C100017"",""KOR_P_R100029_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:hwasun,화순,Hwasun,dominant_overlap,78610,413.1460030721817,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281523,0.9999999999999969
14,KOR_P_R100029_C100018,KOR,KR-46,전남,Jeonnam,605.2099867281552,1.0,False,989056.9729816167,1663920.9249999998,"[""KOR_P_R100028_C100018"",""KOR_P_R100029_C100019""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:suncheon,순천,Suncheon,dominant_overlap,276375,582.0283406407242,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281552,1.0
15,KOR_P_R100029_C100019,KOR,KR-46,전남,Jeonnam,605.2099867281552,0.6925725261720219,True,1015492.4850346771,1663920.9249999998,"[""KOR_P_R100029_C100018"",""KOR_P_R100029_C100020""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:gwangyang,광양,Gwangyang,dominant_overlap,138012,371.1082423480262,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,380.9313778597527,0.6294201784724635
16,KOR_P_R100029_C100020,KOR,KR-48,경남,Gyeongnam,605.2099867281552,0.5999560984845141,True,1041927.9970877374,1663920.9249999998,"[""KOR_P_R100029_C100019"",""KOR_P_R100029_C100021""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:sacheon,사천,Sacheon,dominant_overlap,114556,179.829792352808,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,363.0994224012885,0.5999560984845141
17,KOR_P_R100029_C100021,KOR,KR-48,경남,Gyeongnam,605.2099867281561,0.7791251577591823,True,1068363.509140798,1663920.9249999998,"[""KOR_P_R100029_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:goseong,고성,Goseong,dominant_overlap,62446,347.34784849854805,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,471.53432638700724,0.7791251577591823
18,KOR_P_R100030_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281541,0.9999999999999949,False,922968.1928489658,1686814.75,"[""KOR_P_R100030_C100017"",""KOR_P_R100031_C100015"",""KOR_P_R100031_C100016""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:hampyeong,함평,Hampyeong,dominant_overlap,45232,171.23774831316186,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,604.9938463824558,0.9996428671858724
19,KOR_P_R100030_C100017,KOR,KR-29,광주,Gwangju,605.2099867281552,1.0,False,949403.7049020261,1686814.75,"[""KOR_P_R100030_C100016"",""KOR_P_R100031_C100016"",""KOR_P_R100031_C100017""]",1401235,광주,Gwangju,metropolis,False,metropolis,KR-29:gwangju,광주,Gwangju,dominant_overlap,1401235,267.3181656632061,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,2022,False,minimum_representation,132.92126357865524,0.21962833808682683
20,KOR_P_R100030_C100018,KOR,KR-46,전남,Jeonnam,605.2099867281561,1.0000000000000016,False,975839.2169550866,1686814.75,"[""KOR_P_R100030_C100019"",""KOR_P_R100031_C100018""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:gokseong,곡성,Gokseong,dominant_overlap,37080,413.9508779174493,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,599.0272404038325,0.989784130368125
21,KOR_P_R100030_C100019,KOR,KR-46,전남,Jeonnam,605.2099867281541,1.0000000000000002,False,1002274.7290081469,1686814.75,"[""KOR_P_R100030_C100018"",""KOR_P_R100030_C100020"",""KOR_P_R100031_C100018"",""KOR_P_R100031_C100019""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:gurye,구례,Gurye,dominant_overlap,30000,338.18895286058614,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,567.8641025526534,0.9382926835404723
22,KOR_P_R100030_C100020,KOR,KR-48,경남,Gyeongnam,605.2099867281552,1.0,False,1028710.2410612073,1686814.75,"[""KOR_P_R100030_C100019"",""KOR_P_R100031_C100019"",""KOR_P_R100031_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:hadong,하동,Hadong,dominant_overlap,58010,392.07235589252855,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,597.6324940382194,0.9874795643560005
23,KOR_P_R100030_C100021,KOR,KR-48,경남,Gyeongnam,605.2099867281552,0.9967285824933088,True,1055145.7531142677,1686814.75,"[""KOR_P_R100030_C100022"",""KOR_P_R100031_C100021""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:jinju,진주,Jinju,dominant_overlap,340816,483.2697300019262,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,603.2300921823482,0.9967285824933088
